,Runoff_mmd,pcp_era5,sf_era5,smlt_era5,pev_era5,t2m_era5,asn_era5,snowc_era5,sde_era5,sd_era5,swvl1_era5
2002/5/21,2.704040009,1.024468064,1.011317015,0.000946781,-9.488893611,273.2577813,0.699435638,94.18489838,1.079590201,0.390874306,0.23485373
2002/5/22,3.495937441,0.163202003,0.001118857,2.004617214,-13.68350077,275.098493,0.665903678,94.18489838,1.060725093,0.390160925,0.234422505
2002/5/23,3.882228871,3.743955374,0.323245794,13.43412876,-9.709184486,277.4500849,0.63522423,94.18489838,1.020522118,0.382562235,0.297914684
2002/5/24,4.90590116,2.783354998,0.555020809,16.49734306,-6.262932865,277.0625509,0.628409995,94.18489838,0.987107396,0.370793153,0.324385047
2002/5/25,6.219292022,1.256936789,1.077742696,0,-15.29761306,272.2527488,0.617217825,94.18489838,0.95236969,0.359352894,0.307895839
2002/5/26,7.320222597,0.73194474,0.079056442,0,-11.97654397,273.3236684,0.611455275,94.18489838,0.944739938,0.35880561,0.283488452
2002/5/27,8.054176314,3.232970715,1.991219997,8.0882864,-10.24350893,276.4512952,0.632319646,94.18489838,0.932476997,0.35935814,0.29144004
2002/5/28,8.749500888,1.254433036,0,16.47327042,-9.640647004,277.6073258,0.615684738,94.18489838,0.898814023,0.348679005,0.331120819
2002/5/29,9.715229462,0.006586866,0,27.17317963,-17.69791243,281.5837501,0.595268389,94.18489838,0.840793014,0.32714575,0.354316533
2002/5/30,11.80120318,2.448014021,0.016148662,16.53206635,-13.4459312,278.0804339,0.579480445,94.18489838,0.760317385,0.296990374,0.35646826
2002/5/31,13.65540205,0.407383621,0,17.68040276,-12.76216713,277.3235419,0.56690541,94.18489838,0.723530114,0.28508356,0.3351596
2002/6/1,15.16193862,7.950756073,0,26.03568077,-0.999717343,279.593932,0.556897068,94.18489838,0.653901756,0.259907752,0.370178252
2002/6/2,16.91956463,1.79947865,0.133883089,14.3508482,-4.497639167,277.1831395,0.549349058,94.18489838,0.601292729,0.239710942,0.353118569
2002/6/3,16.14698177,3.696372747,2.262545824,5.346449852,-6.743474145,274.8725098,0.583690528,94.18489838,0.584092021,0.231311128,0.334371746
2002/6/4,14.89153462,0.39337346,0.388184369,5.422996044,-15.50861393,275.4376818,0.599447954,94.18489838,0.576972783,0.227683142,0.315983683
2002/6/5,13.63608748,0.210933372,0,16.55398941,-14.1772949,278.5010412,0.584508565,94.18489838,0.5479967,0.217948198,0.335206062
2002/6/6,12.3999549,2.780136824,0.078951657,10.37482548,-7.478798587,276.2828312,0.571655689,94.18489838,0.503600001,0.201127648,0.348008245
2002/6/7,10.97067661,0.26815924,0.244185537,2.56737566,-15.92514498,274.8653698,0.566587601,94.18489838,0.48424986,0.194605708,0.315555006
2002/6/8,9.599342033,0.166934356,0,15.1456089,-15.78449337,277.8250547,0.558394512,94.18489838,0.459005535,0.188123584,0.324503034
2002/6/9,8.51772603,8.809408188,0,13.43366528,-2.345959205,276.8359231,0.550202109,94.18489838,0.411845475,0.170617133,0.357963085
2002/6/10,7.687199455,3.391970396,0.037602562,9.489545822,-2.471704048,275.9726791,0.544332742,94.18489838,0.385766596,0.159991756,0.345716774
2002/6/11,6.914616595,0.369416177,0.01940361,9.328215599,-6.995488689,276.0540494,0.540015085,94.18489838,0.364309102,0.151414409,0.331979096
2002/6/12,5.466023733,5.726379395,0,16.29537392,-5.705790259,277.3232023,0.535903479,94.18358612,0.335342199,0.140133366,0.344242603
2002/6/13,5.060417732,14.26560497,4.352387905,9.842240334,-2.103061287,275.7858202,0.571669067,94.16677856,0.304701477,0.125694245,0.355771095
2002/6/14,4.790013731,8.678520203,6.852615356,4.29762888,-5.497413059,274.5297095,0.699418543,94.1835022,0.328315765,0.125333592,0.331402719
2002/6/15,4.90590116,0.352729708,0.288664401,13.52605438,-11.53768907,276.6633501,0.710775546,94.18352509,0.332942814,0.122984849,0.324541509
2002/6/16,5.214934304,0.038906179,0,17.47592163,-11.94946401,278.6573174,0.670296342,93.78928375,0.289114684,0.107509695,0.342130482
2002/6/17,5.408080019,1.177584171,0,13.41374779,-9.05563763,278.3819452,0.638227235,90.83486938,0.238969356,0.089333326,0.346913397
2002/6/18,5.234248875,0.094905347,0,16.75939178,-16.09051158,279.4474579,0.613166547,87.91602325,0.203521982,0.076596439,0.339748144
2002/6/19,4.790013731,0,0,20.18431091,-17.7039041,282.3495548,0.593532086,79.21015167,0.153604016,0.058551978,0.342553228
2002/6/20,4.268520301,0,0,22.85848045,-18.04750314,287.2910452,0.577911237,60.86450195,0.097668014,0.037401643,0.340387434
2002/6/21,3.785656013,1.36138773,0,13.10246944,-25.92438028,291.2263612,0.56555443,26.74040222,0.036718018,0.013876831,0.33134979
2002/6/22,3.322106297,0.050803907,0,2.326630831,-25.21591497,282.0989581,0.555834493,10.31710052,0.012836524,0.004902137,0.291474998
2002/6/23,2.897185724,3.39E-05,0,2.197471142,-30.04820992,287.0933351,0.54818852,6.16754961,0.007241076,0.002737641,0.267139733
2002/6/24,2.684725438,13.95619488,0,0.771158099,-7.502492853,282.3667391,0.542173819,2.167075634,0.002512128,0.000966902,0.292702317
2002/6/25,2.549523437,0.024636725,0,0.358724833,-19.56586118,283.9985344,0.537476731,1.068293452,0.001153385,0.000469448,0.276291043
2002/6/26,2.45295058,0.021419793,0,0.133089483,-23.62051881,283.9787929,0.534526142,0.483543813,0.000499377,0.00020852,0.256421596
2002/6/27,2.337063151,7.055518627,0,0.061648082,-5.351174054,282.3780961,0.534682754,0.249121487,0.000247995,0.000105511,0.259956986
2002/6/28,2.259804865,2.734003305,0,0.042224497,-11.67017502,283.4625622,0.539738048,0.128324836,0.000123163,5.38E-05,0.280933708
2002/6/29,2.143917436,0,0,0.019801795,-22.61756594,285.4722499,0.548435089,0.06149894,6.12E-05,2.55E-05,0.259330809
2002/6/30,2.008715436,0.14623405,0,0.012752775,-30.66242767,291.174785,0.567562048,0.024064204,2.43E-05,9.10E-06,0.239412367
2002/7/1,1.873513435,0.148373693,0,0.004423791,-27.04089537,295.1127882,0.662919285,0.005349557,5.71E-06,2.32E-06,0.22434786
2002/7/2,1.76921472,1.506709576,0,0.000776497,-21.59535816,294.9041189,0.827342255,0.000805925,3.04E-07,2.47E-07,0.2186777
2002/7/3,1.695819436,0.504870296,0,0.000137891,-28.82689878,292.6875825,0.869501324,0.000178765,0,0,0.210749224
2002/7/4,1.626286861,3.917819977,0,2.94E-05,-17.24503652,289.5724442,0.877610837,5.50E-05,0,0,0.202300668
2002/7/5,1.624355433,21.72584343,0,1.23E-05,-4.703221936,285.8398773,0.877840223,1.80E-05,0,0,0.302442253
2002/7/6,1.970086293,14.99182034,0,1.09E-05,-4.895309799,284.4753678,0.878549057,6.25E-06,0,0,0.305092782
2002/7/7,3.148275154,3.453485727,0,5.14E-06,-1.983399769,282.3562089,0.878712681,1.73E-06,0,0,0.293449461
